Value descriptions,,
Variable,Value_eng,Value_chi
Yr,1991,1991
Yr,1996,1996
Yr,1997,1997
Yr,1998,1998
Yr,1999,1999
Yr,2000,2000
Yr,2001,2001
Yr,2002,2002
Yr,2003,2003
Yr,2004,2004
Yr,2005,2005
Yr,2006,2006
Yr,2007,2007
Yr,2008,2008
Yr,2009,2009
Yr,2010,2010
Yr,2011,2011
Yr,2012,2012
Yr,2013,2013
Yr,2014,2014
Yr,2015,2015
Yr,2016,2016
Yr,2021,2021
G_B_HKR,Bridegrooms are Hong Kong residents and brides are from the Mainland,新郎為香港人而新娘為內地人
G_B_HKR,Brides are Hong Kong residents and bridegrooms are from the Mainland,新娘為香港人而新郎為內地人
G_B_HKR,Total,總計
M_HK_cross_b_marri,Marriages registered in Hong Kong,香港登記結婚
M_HK_cross_b_marri,Issue of Certificate of Absence of Marriage Records,獲發「無結婚紀錄證明書」
M_HK_cross_b_marri,Sub-total,小計
