Value descriptions,,
Variable,Value_eng,Value_chi
Yr,1991,1991
Yr,1992,1992
Yr,1993,1993
Yr,1994,1994
Yr,1995,1995
Yr,1996,1996
Yr,1997,1997
Yr,1998,1998
Yr,1999,1999
Yr,2000,2000
Yr,2001,2001
Yr,2002,2002
Yr,2003,2003
Yr,2004,2004
Yr,2005,2005
Yr,2006,2006
Yr,2007,2007
Yr,2008,2008
Yr,2009,2009
Yr,2010,2010
Yr,2011,2011
Yr,2012,2012
Yr,2013,2013
Yr,2014,2014
Yr,2015,2015
Yr,2016,2016
Yr,2017,2017
Yr,2018,2018
Yr,2019,2019
Yr,2020,2020
Yr,2021,2021
Pre_martial_s,Bridegrooms: Bachelors,新郎 - 從未結婚
Pre_martial_s,Bridegrooms: Widowers,新郎 - 鰥夫
Pre_martial_s,Bridegrooms: Divorced men,新郎 - 離婚
Pre_martial_s,Bridegrooms: Others,新郎 - 其他
Pre_martial_s,All bridegrooms ,所有新郎
Pre_martial_s,Brides: Spinsters,新娘 - 從未結婚
Pre_martial_s,Brides: Widow,新娘 - 寡婦
Pre_martial_s,Brides: Divorced women,新娘 - 離婚
Pre_martial_s,Brides: Others,新娘 - 其他
Pre_martial_s,All brides,所有新娘
