Yr,Age_gp,COD,Sex,Mor_rate
2011,0,Certain conditions originating in the perinatal period,Male,102
2011,0,"Congenital malformations, deformations and chromosomal abnormalities",Male,76
2011,0,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Male,29
2011,0,Others,Male,91
2011,0,All causes,Male,298
2011,1 – 44,External causes of morbidity and mortality,Male,18
2011,1 – 44,Neoplasms,Male,15
2011,1 – 44,Diseases of the circulatory system,Male,9
2011,1 – 44,Others,Male,11
2011,1 – 44,All causes,Male,54
2011,45 – 49,Neoplasms,Male,90
2011,45 – 49,Diseases of the circulatory system,Male,48
2011,45 – 49,External causes of morbidity and mortality,Male,30
2011,45 – 49,Others,Male,43
2011,45 – 49,All causes,Male,212
2011,50 – 54,Neoplasms,Male,169
2011,50 – 54,Diseases of the circulatory system,Male,76
2011,50 – 54,External causes of morbidity and mortality,Male,27
2011,50 – 54,Others,Male,75
2011,50 – 54,All causes,Male,347
2011,55 – 59,Neoplasms,Male,279
2011,55 – 59,Diseases of the circulatory system,Male,117
2011,55 – 59,Diseases of the respiratory system,Male,41
2011,55 – 59,Others,Male,102
2011,55 – 59,All causes,Male,538
2011,60 – 64,Neoplasms,Male,449
2011,60 – 64,Diseases of the circulatory system,Male,175
2011,60 – 64,Diseases of the respiratory system,Male,83
2011,60 – 64,Others,Male,153
2011,60 – 64,All causes,Male,860
2011,65 – 69,Neoplasms,Male,709
2011,65 – 69,Diseases of the circulatory system,Male,303
2011,65 – 69,Diseases of the respiratory system,Male,229
2011,65 – 69,Others,Male,243
2011,65 – 69,All causes,Male,1484
2011,70 – 74,Neoplasms,Male,866
2011,70 – 74,Diseases of the circulatory system,Male,506
2011,70 – 74,Diseases of the respiratory system,Male,438
2011,70 – 74,Others,Male,412
2011,70 – 74,All causes,Male,2223
2011,75 – 79,Neoplasms,Male,1366
2011,75 – 79,Diseases of the circulatory system,Male,914
2011,75 – 79,Diseases of the respiratory system,Male,928
2011,75 – 79,Others,Male,672
2011,75 – 79,All causes,Male,3880
2011,80 – 84,Neoplasms,Male,1902
2011,80 – 84,Diseases of the respiratory system,Male,1997
2011,80 – 84,Diseases of the circulatory system,Male,1735
2011,80 – 84,Others,Male,1262
2011,80 – 84,All causes,Male,6896
2011,85+,Diseases of the respiratory system,Male,4464
2011,85+,Diseases of the circulatory system,Male,3170
2011,85+,Neoplasms,Male,2464
2011,85+,Others,Male,2818
2011,85+,All causes,Male,12916
2011,All ages,Neoplasms,Male,245
2011,All ages,Diseases of the respiratory system,Male,157
2011,All ages,Diseases of the circulatory system,Male,164
2011,All ages,Others,Male,149
2011,All ages,All causes,Male,715
2011,0,Certain conditions originating in the perinatal period,Female,51
2011,0,"Congenital malformations, deformations and chromosomal abnormalities",Female,71
2011,0,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Female,16
2011,0,Others,Female,55
2011,0,All causes,Female,194
2011,1 – 44,Neoplasms,Female,13
2011,1 – 44,External causes of morbidity and mortality,Female,8
2011,1 – 44,Diseases of the circulatory system,Female,2
2011,1 – 44,Others,Female,7
2011,1 – 44,All causes,Female,31
2011,45 – 49,Neoplasms,Female,72
2011,45 – 49,Diseases of the circulatory system,Female,12
2011,45 – 49,External causes of morbidity and mortality,Female,11
2011,45 – 49,Others,Female,20
2011,45 – 49,All causes,Female,116
2011,50 – 54,Neoplasms,Female,124
2011,50 – 54,Diseases of the circulatory system,Female,20
2011,50 – 54,External causes of morbidity and mortality,Female,14
2011,50 – 54,Others,Female,27
2011,50 – 54,All causes,Female,185
2011,55 – 59,Neoplasms,Female,169
2011,55 – 59,Diseases of the circulatory system,Female,34
2011,55 – 59,Diseases of the respiratory system,Female,12
2011,55 – 59,Others,Female,42
2011,55 – 59,All causes,Female,258
2011,60 – 64,Neoplasms,Female,249
2011,60 – 64,Diseases of the circulatory system,Female,62
2011,60 – 64,Diseases of the respiratory system,Female,25
2011,60 – 64,Others,Female,71
2011,60 – 64,All causes,Female,406
2011,65 – 69,Neoplasms,Female,323
2011,65 – 69,Diseases of the circulatory system,Female,127
2011,65 – 69,Diseases of the respiratory system,Female,46
2011,65 – 69,Others,Female,112
2011,65 – 69,All causes,Female,607
2011,70 – 74,Neoplasms,Female,445
2011,70 – 74,Diseases of the circulatory system,Female,269
2011,70 – 74,Diseases of the respiratory system,Female,117
2011,70 – 74,Others,Female,220
2011,70 – 74,All causes,Female,1051
2011,75 – 79,Neoplasms,Female,678
2011,75 – 79,Diseases of the circulatory system,Female,596
2011,75 – 79,Diseases of the respiratory system,Female,291
2011,75 – 79,Others,Female,473
2011,75 – 79,All causes,Female,2039
2011,80 – 84,Neoplasms,Female,937
